Province,Province_Type,EE_Change,EE_Change_Std,Relative_Change_Percent,Rank
广东,Target,0.0076535465,0.009196729,0.7005283,1
海南,Neighbor,0.0041685463,0.000927827,0.401843,2
广西,Neighbor,0.0026124597,0.0008509118,0.25464523,3
江西,Neighbor,0.0022713721,0.0010029989,0.22028777,4
湖南,Neighbor,0.0011160492,0.0005489665,0.10695453,5
浙江,Other,0.0007817388,0.0010181466,0.07127486,6
福建,Neighbor,0.00077335833,0.0027533986,0.07242873,7
安徽,Other,0.0005480886,0.00014318759,0.052744064,8
贵州,Other,0.0005129397,0.00017692219,0.050263178,9
江苏,Other,0.00048738718,0.0009122864,0.04443419,10
云南,Other,0.00048721433,0.0002797813,0.04735633,11
北京,Other,0.00047849416,0.00040933126,0.04392825,12
上海,Other,0.00038534403,0.00023850048,0.03618284,13
湖北,Other,0.00037075282,0.00011164262,0.035201684,14
山东,Other,0.0002569437,0.00038992634,0.024093987,15
新疆,Other,0.00021502972,0.0001484413,0.02129182,16
河南,Other,0.00021054744,9.4916184e-05,0.020316795,17
重庆,Other,0.0002070129,0.00011589715,0.020162992,18
黑龙江,Other,0.00019278526,0.00014490657,0.018868845,19
辽宁,Other,0.0001887083,0.00010784825,0.018282186,20
天津,Other,0.00017311572,7.9710895e-05,0.016356664,21
青海,Other,0.00016060472,0.00012970634,0.015831603,22
宁夏,Other,0.00014358759,0.00010236626,0.01396766,23
山西,Other,0.00013321638,8.268064e-05,0.012872673,24
内蒙古,Other,0.00012800097,0.000105296574,0.012502511,25
四川,Other,0.00011922121,5.8288188e-05,0.011514501,26
河北,Other,0.000117254254,3.779578e-05,0.011236494,27
吉林,Other,0.00011048317,7.3578e-05,0.010899616,28
陕西,Other,9.3650815e-05,5.3146203e-05,0.009214784,29
甘肃,Other,8.772612e-05,7.6388984e-05,0.008624315,30
