Province,Province_Type,EE_Change,EE_Change_Std,Relative_Change_Percent,Rank
江苏,Target,0.007525265,0.007478335,0.68606454,1
浙江,Neighbor,0.0012150764,0.0021349133,0.11078432,2
上海,Neighbor,0.000831902,0.0017513951,0.07811352,3
安徽,Neighbor,0.000695765,0.0009585256,0.06695537,4
广东,Other,0.0005077839,0.000630541,0.046477407,5
天津,Other,0.00046447516,0.0006896805,0.043885466,6
河南,Other,0.00045433044,7.189917e-05,0.04384066,7
江西,Other,0.00041332244,0.00011206022,0.04008585,8
海南,Other,0.00033926964,0.0001501447,0.032705195,9
北京,Other,0.00031421185,0.00047210947,0.028846283,10
河北,Other,0.00020997525,4.3099924e-05,0.02012196,11
湖北,Other,0.00019602776,8.647989e-05,0.01861215,12
福建,Other,0.00019222498,0.0005325479,0.018002795,13
湖南,Other,0.00015121698,4.938754e-05,0.014491602,14
广西,Other,0.00014810562,9.7937205e-05,0.014436353,15
内蒙古,Other,0.00013666748,0.00010842546,0.013349013,16
云南,Other,0.00012500286,7.987907e-05,0.0121500455,17
辽宁,Other,0.00012495517,5.550318e-05,0.01210574,18
黑龙江,Other,0.00012402535,9.562043e-05,0.012138974,19
新疆,Other,0.00012173653,8.056036e-05,0.012054112,20
青海,Other,0.000120979545,0.00011017827,0.011925553,21
吉林,Other,0.00010065436,5.8521113e-05,0.009929965,22
山西,Other,8.9883804e-05,6.245616e-05,0.008685454,23
陕西,Other,8.504391e-05,5.473387e-05,0.008367906,24
重庆,Other,8.0257654e-05,4.8798163e-05,0.007817071,25
宁夏,Other,7.7152254e-05,6.189596e-05,0.0075050807,26
贵州,Other,7.359385e-05,4.277722e-05,0.0072114924,27
甘肃,Other,6.725192e-05,5.86855e-05,0.0066115065,28
四川,Other,6.328225e-05,4.6621364e-05,0.006111861,29
山东,Neighbor,6.248951e-05,0.0014728586,0.005859733,30
