Province,Province_Type,EE_Change,EE_Change_Std,Relative_Change_Percent,Rank
广东,Target,0.0054263948,0.0064184805,0.49667737,1
海南,Neighbor,0.0028612255,0.000689998,0.2758188,2
广西,Neighbor,0.0016463399,0.0005524202,0.16047429,3
江西,Neighbor,0.0015040397,0.00065370294,0.14586847,4
湖南,Neighbor,0.00074706075,0.0003255747,0.071593195,5
浙江,Other,0.0005214453,0.0006762789,0.04754266,6
福建,Neighbor,0.00046579837,0.0017766709,0.04362426,7
安徽,Other,0.00036549568,9.599558e-05,0.035172652,8
贵州,Other,0.00033652782,0.000120021774,0.0329765,9
云南,Other,0.00032151342,0.00019253053,0.03125051,10
北京,Other,0.00031675101,0.0002520044,0.029079389,11
江苏,Other,0.00030936004,0.0005896309,0.028203784,12
上海,Other,0.00025622844,0.0001575112,0.024059208,13
湖北,Other,0.00024701358,7.484233e-05,0.023453075,14
山东,Other,0.00017154217,0.00026112367,0.01608576,15
新疆,Other,0.00014300943,9.9283585e-05,0.014160512,16
河南,Other,0.00013998747,6.3450665e-05,0.013508105,17
重庆,Other,0.00013791918,7.756485e-05,0.013433286,18
黑龙江,Other,0.00012657643,9.6534495e-05,0.012388661,19
辽宁,Other,0.0001262188,7.220637e-05,0.012228161,20
天津,Other,0.00011512041,5.3740758e-05,0.010877036,21
青海,Other,0.000106287,8.640995e-05,0.010477236,22
宁夏,Other,9.5278025e-05,6.913481e-05,0.009268288,23
山西,Other,8.8560584e-05,5.5484146e-05,0.008557592,24
内蒙古,Other,8.4918735e-05,7.065104e-05,0.008294447,25
四川,Other,7.917285e-05,3.9680024e-05,0.0076465914,26
河北,Other,7.776022e-05,2.4800407e-05,0.0074517736,27
吉林,Other,7.281303e-05,4.9482074e-05,0.007183304,28
陕西,Other,6.2632564e-05,3.6052217e-05,0.006162739,29
甘肃,Other,5.8102607e-05,5.1147046e-05,0.0057120407,30
