seed,best_epoch,train_r2,valid_r2,test_r2,train_rmse,valid_rmse,test_rmse,U型个数,倒U型个数,弱相关个数
12,32,0.1689,0.0117,0.1866,0.0789,0.0795,0.0858,21,8,1
16,34,0.1786,0.0183,0.184,0.0784,0.0792,0.0859,18,10,2
22,45,0.238,0.0315,0.2151,0.0755,0.0787,0.0842,4,25,1
26,34,0.198,0.03,0.1731,0.0775,0.0787,0.0865,22,8,0
32,35,0.1907,0.0214,0.2264,0.0778,0.0791,0.0836,12,11,7
36,39,0.2097,0.0197,0.1392,0.0769,0.0791,0.0882,16,13,1
42,44,0.2591,0.0079,0.175,0.0745,0.0796,0.0864,15,12,3
46,25,0.1595,0.0056,0.204,0.0793,0.0797,0.0848,11,18,1
52,31,0.1873,0.0302,0.1466,0.078,0.0787,0.0878,11,12,7
56,28,0.1868,-0.0701,0.159,0.078,0.0827,0.0872,3,21,6
62,42,0.2289,0.0216,0.2234,0.076,0.0791,0.0838,16,12,2
66,36,0.1883,0.0004,0.1973,0.078,0.0799,0.0852,16,13,1
72,40,0.1965,-0.0092,0.1864,0.0776,0.0803,0.0858,15,12,3
76,36,0.2104,0.0878,0.167,0.0769,0.0763,0.0868,19,10,1
82,31,0.2229,0.0089,0.1523,0.0763,0.0796,0.0876,8,22,0
86,32,0.1866,0.0005,0.1819,0.078,0.0799,0.086,15,15,0
92,32,0.1975,-0.0234,0.1472,0.0775,0.0809,0.0878,20,5,5
96,32,0.2091,-0.0194,0.1814,0.077,0.0807,0.086,24,5,1
102,28,0.1673,0.0301,0.1521,0.079,0.0787,0.0876,5,24,1
106,51,0.2798,0.0572,0.1772,0.0734,0.0776,0.0863,8,19,3
112,33,0.2125,0.0028,0.222,0.0768,0.0798,0.0839,12,11,7
116,31,0.1911,0.0412,0.1516,0.0778,0.0783,0.0876,14,15,1
122,45,0.2872,0.0361,0.3096,0.0731,0.0785,0.079,19,6,5
126,32,0.2488,0.0412,0.2277,0.075,0.0783,0.0836,18,7,5
132,26,0.2143,0.0387,0.1711,0.0767,0.0784,0.0866,10,20,0
136,33,0.1782,0.0115,0.1629,0.0784,0.0795,0.087,5,24,1
142,43,0.249,-0.0077,0.198,0.075,0.0802,0.0852,8,19,3
146,25,0.1661,-0.0184,0.1743,0.079,0.0807,0.0864,12,17,1
152,38,0.2214,0.0207,0.174,0.0764,0.0791,0.0864,20,10,0
156,44,0.2291,0.0286,0.2137,0.076,0.0788,0.0843,14,12,4
